word	romanized	frequency	domain	source
नेपाल	nepal	1000	common	seed
नेपाली	nepali	995	common	seed
नमस्ते	namaste	980	common	seed
मेरो	mero	970	common	seed
नाम	naam	965	common	seed
घर	ghar	955	common	seed
राम्रो	ramro	950	common	seed
आज	aaja	945	common	seed
भोलि	bholi	940	common	seed
धन्यवाद	dhanyabad	935	common	seed
साथी	sathi	930	common	seed
खाना	khana	925	common	seed
पानी	pani	920	common	seed
काम	kaam	915	common	seed
किताब	kitab	910	common	seed
मान्छे	manche	905	common	seed
बच्चा	bachcha	900	common	seed
बजार	bajar	895	common	seed
समय	samaya	890	common	seed
दिन	din	885	common	seed
रात	raat	880	common	seed
माया	maya	875	common	seed
परिवार	pariwar	870	common	seed
बाटो	bato	865	common	seed
गाउँ	gaun	860	common	seed
शहर	shahar	855	common	seed
भाषा	bhasa	850	common	seed
विकास	bikas	848	common	seed
लेख	lekh	845	common	seed
सहयोग	sahayog	840	common	seed
प्रश्न	prashna	835	common	seed
उत्तर	uttar	830	common	seed
हो	ho	825	common	seed
छ	chha	820	common	seed
छैन	chhaina	815	common	seed
गर्छु	garchu	810	common	seed
गर्नु	garnu	805	common	seed
जाने	jane	800	common	seed
आउने	aaune	795	common	seed
लेख्ने	lekhne	790	common	seed
पढ्ने	padhne	785	common	seed
बोल्ने	bolne	780	common	seed
सुन्ने	sunne	775	common	seed
हेर्ने	herne	770	common	seed
को	ko	765	common	seed
मा	ma	760	common	seed
र	ra	755	common	seed
बाट	bata	750	common	seed
लागि	lagi	745	common	seed
एउटा	euta	740	common	seed
यो	yo	735	common	seed
त्यो	tyo	730	common	seed
यहाँ	yaha	725	common	seed
त्यहाँ	tyaha	720	common	seed
कसरी	kasari	715	common	seed
किन	kina	710	common	seed
के	ke	705	common	seed
सरकार	sarkar	1000	government	seed
सेवा	sewa	990	government	seed
कार्यालय	karyalaya	985	government	seed
नागरिक	nagarik	980	government	seed
नागरिकता	nagarikta	975	government	seed
राष्ट्रिय	rastriya	970	government	seed
परिचयपत्र	parichayapatra	965	government	seed
राजस्व	rajaswa	960	government	seed
सूचना	suchana	955	government	seed
विभाग	bibhag	950	government	seed
मन्त्रालय	mantralaya	945	government	seed
प्रमाणपत्र	pramanpatra	940	government	seed
निवेदन	nibedan	935	government	seed
अनुसूची	anusuchi	930	government	seed
अधिकारी	adhikari	925	government	seed
कर्मचारी	karmachari	920	government	seed
संविधान	sambidhan	915	government	seed
वडा	wada	910	government	seed
पालिका	palika	905	government	seed
महानगर	mahanagar	900	government	seed
नगरपालिका	nagarpalika	895	government	seed
गाउँपालिका	gaunpalika	890	government	seed
प्रदेश	pradesh	885	government	seed
जिल्ला	jilla	880	government	seed
प्रहरी	prahari	875	government	seed
कर	kar	870	government	seed
भन्सार	bhansar	865	government	seed
योजना	yojana	860	government	seed
दूतावास	dutawas	855	government	seed
सचिवालय	sachivalaya	850	government	seed
विद्यालय	bidhyalaya	950	education	seed
शिक्षा	shiksha	945	education	seed
विद्यार्थी	vidyarthi	940	education	seed
परीक्षा	pariksha	935	education	seed
अध्ययन	adhyayan	930	education	seed
शिक्षक	shikshak	925	education	seed
महाविद्यालय	mahavidyalaya	920	education	seed
पाठशाला	pathshala	915	education	seed
कक्षा	kaksha	910	education	seed
पुस्तक	pustak	905	education	seed
विश्वविद्यालय	bishwavidyalaya	900	education	seed
नतिजा	natija	895	education	seed
अंक	ank	890	education	seed
विषय	bishaya	885	education	seed
प्रवेश	prabesh	880	education	seed
तालिम	talim	875	education	seed
छात्र	chatra	870	education	seed
छात्रा	chhatra	865	education	seed
कानुन	kanun	950	legal	seed
नियम	niyam	945	legal	seed
अधिकार	adhikar	940	legal	seed
